Ranking:	Tweet:	Score:
0	Just saw the vote tabulations. There is NO WAY Biden got 80,000,000 votes!!! This was a 100% RIGGED ELECTION.	0.7427
1	Today, the Trump Administration officially left the Paris Climate Agreement. And in exactly 77 days, a Biden Admini… https://t.co/7dT22UeN7h	0.7418
2	Should President Trump concede to Biden? Poll Results: No: 190,593 (98.9%) Yes: 2,181 (1.1%) Total Votes: 192,774… https://t.co/VTeSnDblir	0.2687
3	A must read. Impossible for Biden to have overcome these, and even greater, odds! https://t.co/cmYFY0va6p	0.2644
4	Biden did poorly in big cities (Politico), except those of Detroit (more votes than people!), Philadelphia, Atlanta… https://t.co/0cCyv36E31	0.0982
5	This is only the second time I have ever requested a retweet. If you agree that President Biden should restore the… https://t.co/UrKj3C5dOu	0.0926
6	WATCH: Crowd gasps after finding out that a mysterious spike of votes in Pennsylvania had 600,000 votes for Biden a… https://t.co/FYTR3xlSL7	0.0349
7	gonna tell my kids this was joe biden and kamala harris https://t.co/Twe52RH5lx	0.0334
8	Biden is a proven Castro puppet! Vote TRUMP	0.0126
9	Does anyone believe that Biden got 15 million more votes than Obama in 2012? This from a candidate who would go day… https://t.co/BzUcjq81OE	0.0122
