Ranking:	Tweet:	Score:
0	Just saw the vote tabulations. There is NO WAY Biden got 80,000,000 votes!!! This was a 100% RIGGED ELECTION.	0.7427
1	Today, the Trump Administration officially left the Paris Climate Agreement. And in exactly 77 days, a Biden Admini… https://t.co/7dT22UeN7h	0.7418
2	Should President Trump concede to Biden? Poll Results: No: 190,593 (98.9%) Yes: 2,181 (1.1%) Total Votes: 192,774… https://t.co/VTeSnDblir	0.7303
3	Biden did poorly in big cities (Politico), except those of Detroit (more votes than people!), Philadelphia, Atlanta… https://t.co/0cCyv36E31	0.7253
4	A must read. Impossible for Biden to have overcome these, and even greater, odds! https://t.co/cmYFY0va6p	0.7186
5	WATCH: Crowd gasps after finding out that a mysterious spike of votes in Pennsylvania had 600,000 votes for Biden a… https://t.co/FYTR3xlSL7	0.7008
6	Biden is a proven Castro puppet! Vote TRUMP	0.6896
7	Biden lost 212 more counties than Obama did in 2012 (Biden won 477 counties vs Obama who won 689), yet Biden magica… https://t.co/fO9R2kWXXt	0.6841
8	This is only the second time I have ever requested a retweet. If you agree that President Biden should restore the… https://t.co/UrKj3C5dOu	0.6839
9	gonna tell my kids this was joe biden and kamala harris https://t.co/Twe52RH5lx	0.6711
10	Does anyone believe that Biden got 15 million more votes than Obama in 2012? This from a candidate who would go day… https://t.co/BzUcjq81OE	0.6666
11	We kept the republic! Congratulations to Joe Biden on his victory for the soul of our country. Congratulations to K… https://t.co/UEy8Rz4bW6	0.664
12	Trump really blew $3,000,000 to give Biden 132 more votes, that has to be the L of the decade.	0.6575
13	As names of Biden's cabinet choices start leaking out, it seems his approach to staffing his administration will be… https://t.co/y3y1iqQJ0I	0.6507
14	🚨🚨 BIDEN ADMITS TO VOTER FRAUD! 🚨🚨 -5006659723313661343 brags about having the “most extensive VOTER FRAUD organization” in h… https://t.co/KZHc8kGkml	0.6473
15	Some Democrats, media allies are angry that Trump accuses Biden of cheating. But they shouldn't be surprised. After… https://t.co/1o9uQwmbeb	0.6459
16	We’re supposed to believe that our intelligence agencies can track and take out an Iranian terrorist (Soleimani) ov… https://t.co/hhOvEPfmOA	0.6384
17	Trump was never running against Biden. He was running against voter fraud.	0.6351
18	It has been 23 days since Joe Biden was elected the 46th President on the United States.🇺🇸 Since then, Trump and h… https://t.co/VrdLZXjawm	0.633
19	"Cuomo received an Emmy. Fauci is Time's person of the year. Biden is ""president elect."" What a complete joke. All of it."	0.6121
